stock_code,stock_name,level1,level2,level3
BK0840,OLED,科技与创新,半导体与电子,电子元件
BK0948,MicroLED,科技与创新,半导体与电子,电子元件
BK0465,化学制药,消费与民生,医疗健康,医药制造
BK1099,轮毂电机,传统产业,制造业,汽车制造
BK0737,软件开发,科技与创新,人工智能,AI应用
BK0429,交运设备,传统产业,制造业,机械设备
BK0171,云南板块,区域与政策,地域板块,省份板块
BK1188,DeepSeek概念,科技与创新,人工智能,大模型概念
BK1059,百元股,区域与政策,政策概念,特殊概念
BK0170,重庆板块,区域与政策,地域板块,直辖市
BK1098,生物质能发电,资源与能源,能源产业,新能源
BK0161,辽宁板块,区域与政策,地域板块,省份板块
BK0733,包装材料,传统产业,基础工业,化工材料
BK0708,体育产业,消费与民生,文化娱乐,体育旅游
BK0604,参股保险,金融与地产,金融服务,投资服务
BK0611,上证50_,区域与政策,指数概念,主要指数
BK1135,数据要素,新兴概念,数字经济,数字技术
BK1116,抗菌面料,新兴概念,特殊概念,材料概念
BK0817,昨日触板,区域与政策,交易概念,交易状态
BK1101,Chiplet概念,科技与创新,半导体与电子,芯片设计制造
BK0685,举牌,区域与政策,政策概念,特殊概念
BK0813,雄安新区,区域与政策,政策概念,区域发展
BK1193,海南自贸,区域与政策,政策概念,区域发展
BK0580,LED,科技与创新,半导体与电子,电子元件
BK0967,水产养殖,消费与民生,食品饮料,农业食品
BK0986,CAR-T细胞疗法,消费与民生,医疗健康,医疗服务
BK1047,数据安全,科技与创新,人工智能,AI应用
BK0712,一带一路,区域与政策,政策概念,国家战略
BK1088,F5G概念,科技与创新,通信与网络,通信技术
BK0726,工程咨询服务,传统产业,制造业,机械设备
BK0923,抖音概念(字节概念),新兴概念,平台经济,互联网平台
BK0597,水利建设,传统产业,建筑与工程,工程建设
BK0812,贬值受益,区域与政策,政策概念,国家战略
BK0697,IPO受益,区域与政策,政策概念,国家战略
BK0458,仪器仪表,传统产业,制造业,机械设备
BK1003,抽水蓄能,科技与创新,新能源技术,储能技术
BK0471,化纤行业,传统产业,基础工业,化工材料
BK1022,职业教育,消费与民生,文化娱乐,传媒娱乐
BK0164,山东板块,区域与政策,地域板块,省份板块
BK1127,AI芯片,科技与创新,人工智能,算力与芯片
BK1131,同步磁阻电机,传统产业,制造业,机械设备
BK1149,星闪概念,科技与创新,通信与网络,通信技术
BK0980,化债(AMC)概念,金融与地产,金融服务,银行保险
BK0159,江苏板块,区域与政策,地域板块,省份板块
BK0148,吉林板块,区域与政策,地域板块,省份板块
BK0506,创投,金融与地产,金融服务,投资服务
BK0665,电商概念,新兴概念,平台经济,电商概念
